car_name,location,km_driven,fuel_type,transmission_type,owner_type,mileage,engine,max_power,seats,price_inr,vehicle_age,brand,model,seller_type
Hyundai i20 1.2 Magna,Kolkata,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,187000.0,14,Hyundai,i20 1.2 Magna,Unknown
Volkswagen Vento Petrol Highline AT,Kolkata,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,285000.0,14,Volkswagen,Vento Petrol Highline AT,Unknown
Honda City Corporate Edition,Mumbai,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,425000.0,12,Honda,City Corporate Edition,Unknown
Nissan Micra Diesel XV,Hyderabad,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,425000.0,12,Nissan,Micra Diesel XV,Unknown
Maruti Alto K10 2010-2014 VXI,Hyderabad,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,275000.0,11,Maruti,Alto K10 2010-2014 VXI,Unknown
Honda WRV i-VTEC VX,Kochi,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,990000.0,6,Honda,WRV i-VTEC VX,Unknown
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,400000.0,17,Toyota,Innova 2.5 V Diesel 7-seater,Unknown
Renault Duster 110PS Diesel RxZ Pack,Bangalore,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,775000.0,11,Renault,Duster 110PS Diesel RxZ Pack,Unknown
Toyota Corolla Altis G,Delhi,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,675000.0,12,Toyota,Corolla Altis G,Unknown
Mahindra Ssangyong Rexton RX7,Bangalore,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,1250000.0,11,Mahindra,Ssangyong Rexton RX7,Unknown
Audi A6 2.7 TDI,Kolkata,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,1150000.0,14,Audi,A6 2.7 TDI,Unknown
Volkswagen Vento 1.6 Highline,Coimbatore,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,698000.0,10,Volkswagen,Vento 1.6 Highline,Unknown
Maruti Wagon R LXI BSIII,Jaipur,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,185000.0,15,Maruti,Wagon R LXI BSIII,Unknown
Maruti Vitara Brezza ZDi Plus,Kochi,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,863000.0000000001,6,Maruti,Vitara Brezza ZDi Plus,Unknown
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,484999.99999999994,7,Mahindra,KUV 100 mFALCON G80 K6 5str AW,Unknown
Mercedes-Benz M-Class ML 350 CDI,Pune,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,2800000.0,11,Mercedes-Benz,M-Class ML 350 CDI,Unknown
Volkswagen Polo Diesel Trendline 1.2L,Chennai,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,500000.0,11,Volkswagen,Polo Diesel Trendline 1.2L,Unknown
Maruti Alto LXi,Delhi,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,125000.0,16,Maruti,Alto LXi,Unknown
Tata Nano LX SE,Kochi,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,153000.0,10,Tata,Nano LX SE,Unknown
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,558000.0,7,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,Unknown
Hyundai i20 Magna Optional 1.2,Kochi,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,474000.0,10,Hyundai,i20 Magna Optional 1.2,Unknown
Hyundai Elantra 2.0 SX Option AT,Bangalore,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,885000.0,10,Hyundai,Elantra 2.0 SX Option AT,Unknown
Toyota Corolla Altis G AT,Mumbai,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,1011000.0,8,Toyota,Corolla Altis G AT,Unknown
Hyundai Elantra CRDi,Ahmedabad,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,425000.0,16,Hyundai,Elantra CRDi,Unknown
Toyota Innova Crysta 2.7 GX MT,Bangalore,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,1095000.0,12,Toyota,Innova Crysta 2.7 GX MT,Unknown
Hyundai Xcent 1.1 CRDi S,Jaipur,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,385000.0,10,Hyundai,Xcent 1.1 CRDi S,Unknown
Mahindra Thar CRDe AC,Jaipur,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,550000.0,12,Mahindra,Thar CRDe AC,Unknown
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2143000.0,9,Audi,A4 2.0 TDI 177 Bhp Premium Plus,Unknown
Maruti Swift LDI,Delhi,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,425000.0,10,Maruti,Swift LDI,Unknown
Maruti Swift Ldi BSIV,Kolkata,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,330000.0,10,Maruti,Swift Ldi BSIV,Unknown
Maruti Swift VDI,Delhi,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,385000.0,11,Maruti,Swift VDI,Unknown
Hyundai Grand i10 Sportz,Chennai,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,360000.0,9,Hyundai,Grand i10 Sportz,Unknown
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,399000.0,9,Volkswagen,Vento 2013-2015 1.6 Comfortline,Unknown
Renault KWID RXT,Kochi,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,330000.0,7,Renault,KWID RXT,Unknown
Hyundai i10 Asta,Kolkata,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,206999.99999999997,14,Hyundai,i10 Asta,Unknown
Nissan X-Trail SLX AT,Hyderabad,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,775000.0,14,Nissan,X-Trail SLX AT,Unknown
Maruti Zen Estilo VXI BSIII,Hyderabad,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,225000.0,14,Maruti,Zen Estilo VXI BSIII,Unknown
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,1650000.0,7,Toyota,Innova Crysta 2.4 GX MT 8S,Unknown
Ford Figo Diesel Titanium,Bangalore,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,275000.0,14,Ford,Figo Diesel Titanium,Unknown
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,2670000.0,9,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,Unknown
Mercedes-Benz New C-Class 200 CDI Classic,Pune,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,1000000.0,13,Mercedes-Benz,New C-Class 200 CDI Classic,Unknown
Tata Indica V2 eLS,Chennai,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,250000.0,8,Tata,Indica V2 eLS,Unknown
Audi A4 2.0 TDI Multitronic,Jaipur,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,1350000.0,12,Audi,A4 2.0 TDI Multitronic,Unknown
Honda City ZX CVT,Mumbai,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,185000.0,17,Honda,City ZX CVT,Unknown
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,3567000.0,5,Mercedes-Benz,C-Class Progressive C 220d,Unknown
Maruti Ertiga SHVS VDI,Pune,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,815000.0,8,Maruti,Ertiga SHVS VDI,Unknown
Hyundai Creta 1.4 E Plus Diesel,Mumbai,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,1050000.0,6,Hyundai,Creta 1.4 E Plus Diesel,Unknown
Porsche Cayenne 2009-2014 Turbo,Mumbai,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,1450000.0,16,Porsche,Cayenne 2009-2014 Turbo,Unknown
Mahindra XUV500 W8 4WD,Mumbai,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,965000.0,9,Mahindra,XUV500 W8 4WD,Unknown
Hyundai i10 Sportz 1.2 AT,Kochi,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,348000.0,12,Hyundai,i10 Sportz 1.2 AT,Unknown
Nissan Terrano XV D Pre,Kochi,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,692000.0,9,Nissan,Terrano XV D Pre,Unknown
Honda Brio VX AT,Coimbatore,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,646000.0,8,Honda,Brio VX AT,Unknown
Audi A6 2.0 TDI Design Edition,Delhi,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,2950000.0,10,Audi,A6 2.0 TDI Design Edition,Unknown
Ford Fiesta 1.4 SXi TDCi,Jaipur,111111,Diesel,Manual,First,17.8,1399.0,97.7,5.0,200000.0,16,Ford,Fiesta 1.4 SXi TDCi,Unknown
Toyota Innova 2.0 G1,Chennai,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,450000.0,18,Toyota,Innova 2.0 G1,Unknown
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,1175000.0,12,Toyota,Innova 2.5 VX 7 STR BSIV,Unknown
Hyundai Santro Xing XL,Hyderabad,87591,Petrol,Manual,First,0.0,1086.0,97.7,5.0,130000.0,19,Hyundai,Santro Xing XL,Unknown
Maruti Swift VDI,Jaipur,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,375000.0,12,Maruti,Swift VDI,Unknown
Tata Zest Revotron 1.2T XE,Pune,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,450000.0,7,Tata,Zest Revotron 1.2T XE,Unknown
Honda Amaze SX i-VTEC,Kochi,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,482000.0,8,Honda,Amaze SX i-VTEC,Unknown
Ford Figo Diesel ZXI,Hyderabad,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,280000.0,12,Ford,Figo Diesel ZXI,Unknown
Maruti Ritz VDi,Jaipur,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,311000.0,11,Maruti,Ritz VDi,Unknown
Honda City i VTEC E,Delhi,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,325000.0,15,Honda,City i VTEC E,Unknown
BMW 5 Series 2003-2012 525d,Delhi,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,1390000.0,13,BMW,5 Series 2003-2012 525d,Unknown
Hyundai i10 Sportz 1.2,Pune,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,225000.0,15,Hyundai,i10 Sportz 1.2,Unknown
Hyundai Grand i10 Sportz,Bangalore,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,575000.0,8,Hyundai,Grand i10 Sportz,Unknown
Hyundai Santro Xing XO,Hyderabad,73745,Petrol,Manual,First,17.0,1086.0,97.7,5.0,210000.0,17,Hyundai,Santro Xing XO,Unknown
Honda Amaze SX i-VTEC,Mumbai,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,500000.0,8,Honda,Amaze SX i-VTEC,Unknown
Toyota Fortuner 4x2 Manual,Delhi,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,1650000.0,10,Toyota,Fortuner 4x2 Manual,Unknown
Audi A6 2011-2015 35 TDI Premium,Coimbatore,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,3958000.0,6,Audi,A6 2011-2015 35 TDI Premium,Unknown
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,550000.0,11,Ford,Ecosport 1.5 DV5 MT Titanium Optional,Unknown
Mahindra XUV500 W8 2WD,Delhi,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,810000.0,10,Mahindra,XUV500 W8 2WD,Unknown
Honda Amaze SX i-DTEC,Kolkata,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,350000.0,9,Honda,Amaze SX i-DTEC,Unknown
Volkswagen Polo Diesel Highline 1.2L,Kolkata,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,279000.0,11,Volkswagen,Polo Diesel Highline 1.2L,Unknown
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,345000.0,14,Hyundai,Verna Transform SX VGT CRDi,Unknown
Maruti Wagon R VXI BS IV,Bangalore,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,445000.0,8,Maruti,Wagon R VXI BS IV,Unknown
Volkswagen Polo Petrol Highline 1.6L,Delhi,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,265000.0,14,Volkswagen,Polo Petrol Highline 1.6L,Unknown
Hyundai i20 1.4 CRDi Sportz,Pune,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,380000.0,13,Hyundai,i20 1.4 CRDi Sportz,Unknown
Hyundai i20 Asta 1.2,Mumbai,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,465000.00000000006,10,Hyundai,i20 Asta 1.2,Unknown
Datsun GO Plus T Petrol,Pune,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,395000.0,7,Datsun,GO Plus T Petrol,Unknown
Audi A4 3.0 TDI Quattro Premium,Kolkata,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,980000.0000000001,14,Audi,A4 3.0 TDI Quattro Premium,Unknown
Hyundai i20 2015-2017 Asta,Pune,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,270000.0,15,Hyundai,i20 2015-2017 Asta,Unknown
Maruti Omni 5 Str STD,Coimbatore,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,241000.0,14,Maruti,Omni 5 Str STD,Unknown
Toyota Etios Liva 1.2 G,Ahmedabad,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,390000.0,10,Toyota,Etios Liva 1.2 G,Unknown
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,2400000.0,13,Jaguar,XF 3.0 Litre S Premium Luxury,Unknown
Mahindra XUV500 W8 2WD,Delhi,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,575000.0,12,Mahindra,XUV500 W8 2WD,Unknown
Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,525000.0,10,Hyundai,Verna 1.6 SX CRDI (O) AT,Unknown
Toyota Innova Crysta 2.8 ZX AT,Mumbai,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,1925000.0,7,Toyota,Innova Crysta 2.8 ZX AT,Unknown
Maruti Eeco 5 Seater AC,Coimbatore,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,391000.0,7,Maruti,Eeco 5 Seater AC,Unknown
Tata Nano Twist XT,Bangalore,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,215000.0,10,Tata,Nano Twist XT,Unknown
BMW 3 Series 320d Luxury Line,Mumbai,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,2075000.0,9,BMW,3 Series 320d Luxury Line,Unknown
Honda Civic 2006-2010 1.8 V MT,Delhi,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,335000.0,14,Honda,Civic 2006-2010 1.8 V MT,Unknown
Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,1111000.0,10,Toyota,Innova 2.5 VX (Diesel) 7 Seater,Unknown
Volvo V40 Cross Country D3,Bangalore,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,2000000.0,10,Volvo,V40 Cross Country D3,Unknown
Nissan Micra XV CVT,Coimbatore,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,655000.0,8,Nissan,Micra XV CVT,Unknown
BMW 5 Series 2010-2013 525i,Mumbai,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,700000.0,15,BMW,5 Series 2010-2013 525i,Unknown
Maruti Vitara Brezza VDi,Mumbai,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,750000.0,8,Maruti,Vitara Brezza VDi,Unknown
Hyundai Santro Xing XL eRLX Euro III,Mumbai,102000,Petrol,Manual,Second,17.0,1086.0,97.7,5.0,85000.0,19,Hyundai,Santro Xing XL eRLX Euro III,Unknown
Mercedes-Benz B Class B200 CDI,Pune,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,1675000.0,10,Mercedes-Benz,B Class B200 CDI,Unknown
Hyundai Verna CRDi 1.6 SX Option,Kolkata,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,1095000.0,6,Hyundai,Verna CRDi 1.6 SX Option,Unknown
Maruti Wagon R LXI BS IV,Pune,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,245000.00000000003,13,Maruti,Wagon R LXI BS IV,Unknown
Tata Nano XTA,Coimbatore,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,323000.0,7,Tata,Nano XTA,Unknown
Mahindra Scorpio VLX,Kolkata,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,775000.0,10,Mahindra,Scorpio VLX,Unknown
Mercedes-Benz New C-Class 200 K AT,Kolkata,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,935000.0,15,Mercedes-Benz,New C-Class 200 K AT,Unknown
Maruti Wagon R LXI CNG,Pune,89900,CNG,Manual,First,26.6,998.0,58.16,5.0,325000.0,11,Maruti,Wagon R LXI CNG,Unknown
Honda CR-V 2.4 MT,Bangalore,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,525000.0,17,Honda,CR-V 2.4 MT,Unknown
Volkswagen Vento 1.5 TDI Comfortline AT,Pune,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,725000.0,9,Volkswagen,Vento 1.5 TDI Comfortline AT,Unknown
Maruti Ciaz VXi Plus,Kochi,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,747000.0,7,Maruti,Ciaz VXi Plus,Unknown
Mahindra XUV500 AT W10 FWD,Jaipur,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,1325000.0,8,Mahindra,XUV500 AT W10 FWD,Unknown
Maruti Ritz VXI ABS,Coimbatore,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,581000.0,8,Maruti,Ritz VXI ABS,Unknown
Maruti Alto K10 VXI,Hyderabad,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,260000.0,10,Maruti,Alto K10 VXI,Unknown
Mercedes-Benz SLC 43 AMG,Kolkata,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,5400000.0,7,Mercedes-Benz,SLC 43 AMG,Unknown
Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,1150000.0,5,Hyundai,Verna VTVT 1.6 AT SX Plus,Unknown
Maruti Alto LXi BSIII,Chennai,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,160000.0,14,Maruti,Alto LXi BSIII,Unknown
BMW 1 Series 118d Base,Coimbatore,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,1722000.0,9,BMW,1 Series 118d Base,Unknown
Honda Jazz 1.2 V CVT i VTEC,Mumbai,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,600000.0,9,Honda,Jazz 1.2 V CVT i VTEC,Unknown
Honda Civic 2006-2010 1.8 V MT,Delhi,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,395000.0,12,Honda,Civic 2006-2010 1.8 V MT,Unknown
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,1795000.0,10,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,Unknown
Honda Amaze SX i-DTEC,Kolkata,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,370000.0,10,Honda,Amaze SX i-DTEC,Unknown
Maruti Swift VVT VXI,Kochi,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,543000.0,8,Maruti,Swift VVT VXI,Unknown
Hyundai Santro Xing XO eRLX Euro II,Kochi,80759,Petrol,Manual,Third,17.0,1086.0,97.7,5.0,167000.0,16,Hyundai,Santro Xing XO eRLX Euro II,Unknown
Toyota Fortuner 3.0 Diesel,Coimbatore,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,1349000.0,12,Toyota,Fortuner 3.0 Diesel,Unknown
Chevrolet Beat LT Option,Pune,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,285000.0,10,Chevrolet,Beat LT Option,Unknown
Skoda Rapid 1.5 TDI Elegance,Chennai,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,475000.0,11,Skoda,Rapid 1.5 TDI Elegance,Unknown
Maruti Ciaz 1.4 Alpha,Kochi,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,990000.0,6,Maruti,Ciaz 1.4 Alpha,Unknown
Audi RS5 Coupe,Mumbai,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,3700000.0,11,Audi,RS5 Coupe,Unknown
BMW 3 Series Luxury Line,Mumbai,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,2650000.0,10,BMW,3 Series Luxury Line,Unknown
Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,2332000.0,9,Audi,A4 2.0 TDI 177 Bhp Premium Plus,Unknown
Maruti Swift VDI,Chennai,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,625000.0,8,Maruti,Swift VDI,Unknown
Mercedes-Benz S Class 2005 2013 S 500,Kolkata,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,3000000.0,14,Mercedes-Benz,S Class 2005 2013 S 500,Unknown
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,986000.0,8,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,Unknown
Skoda Superb Elegance 2.0 TDI CR AT,Pune,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,850000.0,12,Skoda,Superb Elegance 2.0 TDI CR AT,Unknown
Hyundai EON Magna Plus,Kochi,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,423000.00000000006,5,Hyundai,EON Magna Plus,Unknown
Volkswagen Polo Diesel Trendline 1.2L,Jaipur,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,350000.0,12,Volkswagen,Polo Diesel Trendline 1.2L,Unknown
Datsun GO NXT,Kolkata,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,250000.0,8,Datsun,GO NXT,Unknown
Honda Brio S MT,Kolkata,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,239000.0,11,Honda,Brio S MT,Unknown
Mercedes-Benz B Class B180,Delhi,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,1125000.0,11,Mercedes-Benz,B Class B180,Unknown
